,1-Month,3-Months,6-Months,Avg Alpha-Factor,1-Month Corr,3-Months Corr,6-Months Corr,1-Month Vol
UYM,0.33323713309600295,249.36534122394283,3.4398862533454895,84.37948820346143,0.3728267946294918,0.529663600150698,0.4669843753868023,0.0288790533215348
SLV,86.91824336965205,50.57683209974538,4.991840988681129,47.49563881935952,0.34108421842753167,0.5103218880975422,0.3735554714666736,0.0213327677919097
GDX,20.425402191150727,85.91080442193862,0.0014255695310415439,35.445877394206796,0.42872115966758656,0.5326122186075621,0.35745827922155543,0.02383321207255339
XME,0.4660308452685985,66.36814160696936,10.98377595478287,25.93931613567361,0.35344670901698266,0.5159746678919865,0.42500784849086337,0.022002709772638677
PLTM,4.7557375519816905,47.138368503958304,15.37349016636103,22.422532074100342,0.4412946683291034,0.5311467318423149,0.35773160092130996,0.01717646766734647
PPLT,4.356015277990919,46.5292993646756,15.282230006735727,22.055848216467414,0.4402277750428161,0.5316685228421147,0.35665345387593284,0.017467009592205734
CGW,1.1524695284090796,63.12890251946433,0.12754512015354358,21.469639056008987,0.4045057276754428,0.5118706362281231,0.4030496865683713,0.013275955009188238
CUT,4.265288862826348,51.65905248078001,-0.45238432854157623,18.490652338354927,0.4763355781342646,0.5220063889186095,0.3583151427625346,0.011737004785344177
WOOD,0.2530954609318388,48.306254076291935,-0.7465872683535455,15.937587422956744,0.4036167431739353,0.522557076199623,0.33966606702498436,0.012089037631619193
PHO,1.421883198213593,43.2345007190628,2.352112294997099,15.669498737424497,0.46039267291675506,0.5181674981003963,0.3871717618846541,0.013824564843982659
FIW,0.15014252051617946,39.591602815060156,3.691987398086774,14.477910911221036,0.41079319352191745,0.512205129026677,0.37695107732690775,0.01413038658167222
NIB,8.014758252787395,27.659455992887732,1.7911950005309172,12.48846974873535,0.33302708113210094,0.5028916572132751,0.36259514601692616,0.014160505398265154
DBP,13.756009197623754,19.945231748480886,-0.011167394787491736,11.230024517105717,0.3712493088055045,0.5224424514363537,0.39402275446729307,0.011584859725938968
CHIM,33.643501062213936,17.724360979970136,-19.791351222862087,10.525503606440662,0.24081599841395687,0.42952573504055314,0.11534486621372868,0.012699188487082208
GLTR,14.86838114451187,11.804162780362262,0.009293337070310556,8.893945753981482,0.3788397288768735,0.502232074187566,0.4282581315300139,0.014259023171610794
GLD,6.731156105210622,14.732172356719582,-0.4196287609906453,7.014566566979853,0.3771918737841127,0.5192816456745775,0.3603007030005052,0.009676163428877843
SOYB,5.23701180073181,6.993672495652974,3.4236572594709314,5.218113851951905,0.10023584029674519,0.3808616754568844,0.2939991888612609,0.009210446143953667
CANE,-0.000359979273994564,12.226628282053333,0.20718962695005058,4.144485976576463,0.04543533560131206,0.44852707133079106,0.20134894645661514,0.010220870953377358
REMX,-0.0002536255335917583,9.501265385435472,0.025069910538743426,3.175360556813541,0.25475547967577156,0.4405251459822756,0.3458927397606628,0.027877251248984398
COW,-1.5225180295076532,6.7769787079867685,4.217544985108432,3.1573352211958494,-0.03244265494732722,0.27971190895838255,0.20343347350245644,0.008579236570195988
URA,-2.8960079470265345,0.11866477128698322,0.2422600088850606,-0.8450277222848303,0.12947123224167256,0.27263171755302235,0.18173873912199595,0.023657185502794928
CORN,-3.311914160022571,-5.996775891361192,5.337754609930344,-1.32364514715114,-0.20976570098148709,-0.4631591882754788,-0.03518694141428038,0.006488728607423589
GRU,-1.231860639687112,-9.025438271535494,0.5263558106734308,-3.243647700183058,-0.14035091449725876,-0.4494859824914976,-0.08882469929226267,0.008910403154911888
PALL,0.0010435839542058704,-12.90194372791717,-0.37204534333550365,-4.424315162432823,0.14869451668129258,-0.2767791024676186,-0.03978098036160112,0.028767089076578274
WEAT,-10.476697083656331,-21.553253050827273,-1.5575526229261696,-11.195834252469924,-0.19687354840087581,-0.4652240194476615,-0.22781482489033325,0.014613743867827432
JO,1.35608601470409,-30.822620397465652,-25.54372979411831,-18.336754725626623,0.1633451805663925,-0.4819091121303474,-0.20223512802319554,0.022494051905719833
