,MTD Return %,YTD Return %
EWZ,-0.04619456210773913,0.11975042900985672
EWW,-0.03356556839811973,0.04505163349209788
EZA,-0.014341043347705957,-0.035455885139942536
EWU,-0.004502617151592635,-0.03585824396978167
EWP,0.00651959992954603,-0.0472772751554303
EWA,-0.03682790424183799,-0.05224848858502112
DIA,-0.03390538602666182,-0.06361433970350307
EWH,0.06128005785118139,-0.07050250262716418
PIN,-0.04692270225947553,-0.0811265283581241
EWM,-0.008294892638535185,-0.08245530512145947
IDX,-0.04832410003923026,-0.08715821182579368
EWS,-0.009896796640014718,-0.09733235448601416
EWC,-0.051956692655297135,-0.12555420759499014
EWI,-0.011188942030903237,-0.13665505822796256
EWJ,-0.011760486008548933,-0.1684667930104725
SPY,-0.04780845604917628,-0.17322730327362118
EWL,-0.012473766729435589,-0.18070830882603064
IWM,-0.05672349138728,-0.19768812224020949
FXI,0.019352622715121805,-0.2119141802054835
EWG,-0.01619178392257751,-0.21510428916793556
EIS,-0.05947791161895091,-0.252755854323538
EWY,-0.04307035845892823,-0.254069278080954
EWT,-0.04660203147274338,-0.27260650305570905
QQQ,-0.0643728829854781,-0.3066785170294102
RSX,,
